,Angle,Left Hip X,Left Hip Y,Right Hip X,Right Hip Y,Left Knee X,Left Knee Y,Right Knee X,Right Knee Y,Left Foot X,Left Foot Y,Right Foot X,Right Foot Y
0,177.3953496,0.639474511,1.348940372,0.42405957,1.328496933,0.644888759,1.998422742,0.423250973,1.935954571,0.561450243,1.998422742,0.423250973,2.649930477
1,177.7733183,0.640166163,1.369611979,0.425525427,1.363596559,0.644988894,2.026566505,0.428393424,1.984010935,0.568733811,2.026566505,0.428393424,2.720935345
2,177.7824007,0.639846206,1.369295478,0.425168276,1.36475575,0.644755721,2.029643536,0.428385913,1.997012377,0.573356092,2.029643536,0.428385913,2.738598347
3,177.6560862,0.639842927,1.373947263,0.424684614,1.369240999,0.646390915,2.034618378,0.428297907,2.005901098,0.57822144,2.034618378,0.428297907,2.751530409
4,177.5446892,0.639369071,1.373807192,0.422135055,1.368252277,0.647267461,2.037785769,0.428093374,2.008538246,0.577377439,2.037785769,0.428093374,2.757377863
5,177.5568261,0.639376462,1.380635619,0.422119915,1.379337668,0.650263667,2.050753355,0.435513884,2.023362637,0.580397248,2.050753355,0.435513884,2.770435333
6,177.1227313,0.63936466,1.365345716,0.424165875,1.362380505,0.648080468,2.048661709,0.435096115,2.021038055,0.565668702,2.048661709,0.435096115,2.758968353
7,177.124961,0.637763739,1.365508556,0.427515268,1.362030745,0.645910382,2.046280861,0.438125044,2.015035152,0.55930078,2.046280861,0.438125044,2.75914216
8,177.4217285,0.637802601,1.372388482,0.427584559,1.369140744,0.646585584,2.05440855,0.437823594,2.017899513,0.565524578,2.05440855,0.437823594,2.768283606
9,177.439081,0.641385853,1.377423048,0.428238451,1.376194358,0.651157498,2.070738792,0.44301787,2.02685976,0.571136177,2.070738792,0.44301787,2.775285959
10,177.454259,0.64199096,1.37717855,0.429130137,1.375585198,0.65537703,2.067158937,0.446570069,2.023809671,0.588882089,2.067158937,0.446570069,2.770674944
11,177.3875163,0.64215368,1.376981735,0.429094881,1.375382781,0.655490875,2.069200754,0.44579345,2.024329185,0.589825988,2.069200754,0.44579345,2.770859003
12,177.3133564,0.641194642,1.382291794,0.428561747,1.380953431,0.654609263,2.075760126,0.445315182,2.03156209,0.587914526,2.075760126,0.445315182,2.780681133
13,177.5234884,0.640731454,1.383504152,0.428580135,1.38372314,0.650495887,2.079593182,0.443305165,2.031309128,0.586687446,2.079593182,0.443305165,2.781876564
14,177.1661663,0.640081823,1.38848865,0.427409321,1.387119651,0.650484622,2.084308147,0.443098128,2.038641453,0.584826589,2.084308147,0.443098128,2.791190147
15,177.2208468,0.639845788,1.390255094,0.42717129,1.389681458,0.64970094,2.085344791,0.442911923,2.042214394,0.581128061,2.085344791,0.442911923,2.79492569
16,177.1887552,0.640203893,1.393593311,0.427160412,1.393467903,0.650008678,2.096316576,0.442041308,2.047141314,0.58137846,2.096316576,0.442041308,2.800245047
17,176.9861023,0.639953613,1.39055717,0.42715162,1.389886498,0.649977267,2.095978975,0.441859156,2.046096563,0.578103542,2.095978975,0.441859156,2.799285889
18,177.2359709,0.639912963,1.390322328,0.426639408,1.389241934,0.647157431,2.093754768,0.437553942,2.046924114,0.573324621,2.093754768,0.437553942,2.801579237
19,177.3800725,0.639920235,1.390110493,0.426730454,1.388952017,0.647846222,2.092327356,0.439694941,2.04650712,0.576706231,2.092327356,0.439694941,2.802288532
